,title,brand,price,description,colour,category
77,ASOS DESIGN Curve Ella lace highwaist pant,ASOS DESIGN,17.99,"     Yeah, we like these, too      High rise       Lace panels   It's all in the details       Brief cut ",missing,lingerie
78,Simply Be Katie 2 pack lace lingerie set in almond and rose,ASOS DESIGN,86.35,missing,missing,lingerie
79,Yours Curve 5 pack black knickers,Yours,23.37,     Pack of five   Invest in your favourites  High-rise waist   Plain design  Brief cut ,missing,lingerie
80,Dorina Chloe 2 pack briefs in black and blush,Dorina,21.59,     Pack of two  Invest in your favourites  Lace panel  Low rise  Brief cut ,missing,lingerie
81,ASOS DESIGN mix & match saturbae check shirt & short set,Dorina,50.38,missing,missing,lingerie
82,New Look pretty lace thong in green,New Look,10.78,      A little something for your lingerie drawer    Low-rise waist   Bow trim   Thong cut ,missing,lingerie
83,ASOS DESIGN Annalise brazilian pant with open back,ASOS DESIGN,21.59,      A little something for your lingerie drawer   Low-rise waist  Scalloped trims   Cut-out back  Brazilian cut ,missing,lingerie
84,ASOS DESIGN Satin mix & match blouse,ASOS DESIGN,28.79,     It’s everything you’ve been scrolling for  Plunge neck  Kimono sleeves  Tie fastening  Ruffle hem  Regular fit  Just select your usual size ,missing,lingerie
85,Ivory Rose Curve strapless multiway bra in black,Ivory Rose Lingerie,26.99,      A little something for your lingerie drawer    Contour cups       Underwire support      Detachable straps       Plain style       Hook-and-eye closure ,missing,lingerie
86,Loungeable mix & match plus size cheeky lounge short in grey,Loungeable,26.99,     Peak snugness   High rise    Drawstring waist  Regular fit  Just select your usual size ,missing,lingerie
87,ASOS DESIGN Amber Brazilian pant with satin & mesh,ASOS DESIGN,21.59,     A little something for your lingerie drawer      Mid rise      Stretch waistband      Mesh panels  Cut-out design  High-cut leg ,missing,lingerie
88,Tommy Hilfiger Iconic Bralette & Thong,ASOS DESIGN,75.57,missing,missing,lingerie
89,ASOS DESIGN silicone front fastening re-useable stick on bra,ASOS DESIGN,26.99,     The next best thing to wearing no bra at all      Stick-on design      Front fastening  Backless and strapless   Re-usable style ,missing,lingerie
90,ASOS DESIGN Tall lounge stripe crop sweat & jogger set,ASOS DESIGN,53.97,"     For when plans get cancelled, but you weren't going anyway  Crew neck      Contrast taping  Cropped length  Elasticated hem  Jogging bottoms   High rise  Stretch waistband  Regular fit  Just select your usual size ",missing,lingerie
91,ASOS DESIGN Curve Ella lace underwire bra and thong,ASOS DESIGN,35.98,missing,missing,lingerie
92,ASOS DESIGN Lounge fluffy rib funnel neck & jogger set,ASOS DESIGN,61.17,     For cosy nights and lazy days  Pyjama top  Funnel neck  Long sleeves  Pouch pocket  Joggers  Elasticated waist   Functional pockets  Ribbed trims  Regular fit  Just select your usual size ,missing,lingerie
93,Superdry sport boxers 2 pack,Superdry,30.57,     Pack of two pairs  Elasticated waistband  Superdry logo design  Brief cut  ,missing,lingerie
94,Ann Summers Sexy Lace string,Ann Summers,10.79,      A little something for your lingerie drawer    Low-rise waist       Bow detail      Thong cut ,missing,lingerie
