,title,price,description,colour,category
122,pajama top and shorts,29.99,"pajama top and shorts in patterned satin. sleeveless v neck top with adjustable, extra narrow shoulder straps. shorts with covered, elasticized waistband and rounded hems with wrapover sides. polyester 100%",light powder beige black light powder beige dotted,loungewear
123,fine knit cardigan,12.99,"fine knit cardigan in a soft viscose blend. round neckline and buttons at front. viscose 70%, polyamide 30%",light pink melange,outerwear
124,mama slacks,34.99,"slacks in slightly stretchy woven fabric. side pockets, mock fly, and mock welt back pockets. wide jersey ribbing at waist for improved fit. slim, gently tapered legs with creases. lining: polyester 85%, cotton 15%",dark blue,maternity
125,mama nursing dress,34.99,"sleeveless, knee length dress in soft viscose jersey. v neck, wrapover bodice, decorative gathers at shoulders, and smocked seam at waist. practical inner top for easier nursing access. viscose 100%",red,dress
126,lace push up bra,12.99,"lace push up bra with molded, padded underwire cups to maximize bust and cleavage. adjustable shoulder straps and hook and eye fastening at back. polyamide 94%, elastane 6%",dark blue,lingerie
127,h&m+ wide cut shorts,17.99,"shorts in airy, woven viscose fabric. high waist, wide, covered elastication at back, pleats at top, diagonal side pockets, and wide legs. viscose 100%",white blue white blue floral,shorts
128,h&m+ printed t shirt,12.99,t shirt in cotton jersey with a printed motif. narrow ribbing at neckline. cotton 100%,white red black white rolling stones,tops
129,mama skinny ankle jeans,49.99,"ankle length jeans in washed stretch denim with mock front pockets, regular back pockets, and tapered legs. wide jersey ribbing at waist for improved fit. cotton 85%, polyester 14%, elastane 1%",light denim blue light denim blue trashed,jeans
130,pajama pants,12.99,"lightweight pajama pants. elasticized waistband with drawstring. tapered legs with ribbed hems. cotton 80%, polyester 20%",dark blue red dark blue love,loungewear
131,windproof running jacket,49.99,"running jacket in windproof and water repellent functional fabric. mesh lined hood with elastic drawstring. zip at front with chin guard, semi attached yoke at back with concealed, ventilating mesh section, and long raglan sleeves with narrow, elasticized cuffs. side pockets, elastic drawstring at hem, and reflective details. rounded, slightly longer hem at back. unlined. water repellent coating without fluorocarbons. polyester 100%",dark taupe,outerwear
132,underwire lace bra,14.99,"bra in lace and mesh with straight cut front section. mesh lined underwire cups for shaping and good support, narrow, adjustable shoulder straps, and hook and eye fasteners at back. cup lining: polyamide 88%, elastane 12%",white,lingerie
133,lace bikini briefs,6.99,"lace bikini briefs with a low waist, narrow sides, and medium coverage at back. lined gusset. net: polyamide 88%, elastane 12%",powder pink,lingerie
134,2 pack brazilian briefs,12.99,"brazilian briefs in microfiber with laser cut edges, high waist, and thong at back. lined gusset. polyamide 75%, elastane 25%",black light beige,lingerie
135,mama 2 pack nursing tops,29.99,"conscious. short sleeved nursing tops in organic cotton jersey. wrap section at front and practical inner top for easier nursing access. cotton 95%, elastane 5%",dark blue light gray melange white dark blue striped,tops
136,ribbed sweater,24.99,"soft, rib knit sweater with a mock turtleneck. long sleeves with slit at cuffs. viscose 72%, polyamide 28%",white,outerwear
137,mama padded nursing bra,19.99,"soft cup bra in microfiber with lace details. molded, padded cups with opening. adjustable shoulder straps and hook and eye fastening at back. lace: polyamide 89%, elastane 11%",light pink,lingerie
138,chunky knit wool sweater,79.99,"fluffy, chunky knit sweater in a soft alpaca wool blend. high, ribbed collar, zip at top, dropped shoulders, and long sleeves with sewn cuffs. wool 60%, alpaca 40%",khaki green melange,outerwear
139,short sports top,12.99,"sports, fitted top in fast drying, functional fabric with a round neckline and short sleeves. polyester 87%, elastane 13%",powder pink,tops
140,jersey bra top,9.99,"bra top in soft, cotton blend jersey with a racer back. elasticized lower edge. cotton 85%, viscose 10%, elastane 5%",beige black beige leopard print,lingerie
141,dress pants,34.99,"dress pants in thick, textured weave fabric. zip fly with concealed hook and eye fastener, side pockets, and mock back pockets. straight, tapered legs with creases. polyester 64%, viscose 33%, elastane 3%",light gray melange,pants
142,yoga top with drawstring,24.99,"yoga top in fast drying, functional fabric with mesh sections and a drawstring at back. dropped shoulders and long sleeves. side part: polyester 95%, elastane 5%",black,tops
