,title,price,description,colour,category
5750,twill shorts,34.99,"short shorts in soft viscose twill with a high waist. zip fly with button, elastication at back of waist, pleats at front, and side seam pockets. viscose 92%, polyester 8%",beige,shorts
5751,jacquard knit sweater,17.99,"wide cut sweater in soft, jacquard knit fabric with a motif at front. dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. acrylic 100%",black red white orange black sesame street,outerwear
5752,lace blouse,34.99,"straight cut blouse in openwork lace. small stand up collar, snap fasteners at back of neck, and long, slightly wider sleeves with snap fasteners at cuffs. polyamide 44%, cotton 37%, viscose 19%",red,tops
5753,cargo pants,24.99,"cargo pants in stretch twill with a high waist and zip fly with button. mock front pockets, regular back pockets, and leg pockets with flap and concealed snap fasteners. cotton 98%, elastane 2%",dark beige,pants
5754,knit hooded sweater,49.99,"conscious. long sweater in a soft rib knit with wool content. drawstring hood, dropped shoulders, and long sleeves with ribbed cuffs. high slits at sides and slightly longer back section. polyester content is recycled. polyester 52%, acrylic 21%, polyamide 12%, alpaca 6%, wool 6%, elastane 3%",cream,outerwear
5755,wool blend cardigan,99.00,"wide cut cardigan in soft, alpaca blend knit fabric. dropped shoulders, long sleeves, and front pockets. wide ribbing at cuffs and hem. no buttons. polyester 32%, alpaca 30%, wool 20%, polyamide 14%, elastane 4%",black,outerwear
5756,ribbed mock turtleneck sweater,24.99,"pringle of scotland x h&m/conscious. fitted sweater in a soft rib knit with a mock turtleneck. long sleeves, one with embroidered motif above cuff. polyester content is recycled. viscose 50%, polyester 50%",lime yellow,outerwear
5757,seamless leggings,17.99,"leggings in ribbed jersey with an elasticized waistband. designed with minimum number of seams for a more comfortable fit and increased freedom of movement. polyamide 94%, elastane 6%",dark gray,bottoms
5758,sequined skirt,39.99,"short skirt in woven, sequin embroidered fabric. concealed zip at back. satin lining. polyester 100%",black,skirts
5759,cable knit cardigan,39.99,"knee length cardigan in a soft, loose knit. long raglan sleeves and wide ribbing at cuffs and hem. no fasteners. acrylic 100%",burgundy melange,outerwear
5760,long sleeved blouse,24.99,"blouse in soft woven fabric with a narrow collar, concealed buttons at front, and long sleeves with buttons at cuffs. rounded hem. polyester 97%, elastane 3%",dark yellow,tops
5761,oversized down jacket,199.00,"premium quality/conscious. oversized jacket in woven fabric made from recycled polyester. high collar, zip with chin guard and wind flap at front with snap fasteners. side seam pockets, dropped shoulders, and long sleeves with inner ribbing at cuffs. lined. fill 70% down and 30% feathers. padding: down 70%, feather 30%",white,outerwear
5762,hooded sweatshirt cardigan,49.99,"cardigan in sweatshirt fabric with a lined hood. diagonal zip at front, side pockets, and ribbed cuffs. raw edge hem. cotton 70%, polyester 30%",burgundy,outerwear
5763,patterned satin blouse,19.99,"richard allan x h&m. satin blouse with a printed pattern. wide neckline, opening at back of neck with concealed button, and long raglan sleeves with buttons at cuffs. polyester 100%",light beige rust brown black light beige patterned,tops
5764,hooded sweatshirt dress,24.99,"short, straight cut dress in sweatshirt fabric. lined hood and kangaroo pocket. dropped shoulders, long sleeves, and ribbing at cuffs and hem. soft, brushed inside. cotton 60%, polyester 40%",cream,dress
5765,modal blend shorts,5.99,"short shorts in soft jersey made from a cotton and modal blend. elasticized waistband and side pockets. cotton 50%, modal 50%",dark blue white dark blue white striped,shorts
5766,jersey biker leggings,19.99,"jersey leggings with an elasticized waistband and pin tucks on legs. cotton 95%, elastane 5%",light beige,pants
5767,skinny high ankle jeans,39.99,"5 pocket, ankle length jeans in washed stretch denim with heavily distressed details. high waist, zip fly with button, and skinny legs with frayed, raw edge hems. cotton 99%, elastane 1%",denim blue,jeans
5768,wool blend coat,59.99,"coat in soft wool blend fabric with notched lapels, concealed fasteners at front, and front pockets. lined. lining: polyester 100%",red,outerwear
5769,fine knit puff sleeved sweater,24.99,"sweater in a soft, fine knit with a round neckline, gathers at shoulders, and short puff sleeves. ribbing at cuffs and hem. viscose 50%, acrylic 50%",black,outerwear
5770,turtleneck top,29.99,fitted top in airy jersey with a double layer turtleneck and long sleeves. polyester 100%,beige,outerwear
5771,skirt with slit,24.99,"calf length skirt in woven viscose fabric with a printed pattern. high waist, buttons at front, and slit at side. viscose 100%",black white black white dotted,skirts
5772,denim skirt,24.99,"short skirt in cotton twill. zip fly with button, front and back pockets, and visible seams at front and back. cotton 100%",denim blue,skirts
5773,circle skirt,12.99,"short circle skirt in stretch jersey with wide elastication at waist. unlined. cotton 95%, elastane 5%",black,skirts
5774,fine knit cardigan,12.99,"cardigan in soft, fine knit fabric made from a viscose blend. buttons at front and ribbing at neckline, cuffs, and hem. viscose 70%, polyamide 30%",beige melange,outerwear
5775,knit sweater,17.99,"soft, knit sweater with wool content. round neckline, long sleeves, and ribbing at neckline, cuffs, and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",brown melange,outerwear
5776,twill paper bag pants,29.99,"pants in cotton twill. high waist, paper bag waistband, removable tie belt, and zip fly with button. patch front pockets and tapered legs. cotton 100%",dark beige,pants
5777,shorts with belt,29.99,"shorts in woven fabric with a high waist, hook and eye fasteners, zip fly, and attached belt. pleats at front, side pockets, and mock back pockets. polyester 100%",cream,shorts
5778,fine knit turtleneck sweater,19.99,"wide cut turtleneck sweater in a soft, fine knit. dropped shoulders, long, wide sleeves, and wide ribbing at cuffs and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",red melange,outerwear
5779,knit sweater with ruffle trim,24.99,"short, rib knit sweater in a soft cotton blend. ruffle trim at neckline and cuffs, long raglan sleeves, and ribbed hem. cotton 55%, polyester 45%",light gray,outerwear
5780,embroidered skirt,34.99,"short skirt in a woven cotton and linen blend with eyelet embroidery. sewn wrapover at front, concealed side zip, and scalloped edge hem. lined. cotton 100%",natural white,skirts
5781,wide leg pants,34.99,"wide leg pants in thick cotton twill. high waist with wide belt loops, zip fly with concealed hook and eye fastener, and pleats at front. side pockets, patch back pockets with button, and a dropped gusset. legs with slightly tapered hems. cotton 100%",dark khaki green,pants
5782,ruffle trimmed shorts,12.99,"short shorts in jersey made from a modal and cotton blend. high waist, elasticized drawstring waistband, side pockets, and ruffle trimmed hems. cotton 50%, modal 50%",light pink light pink floral,shorts
5783,denim shorts,24.99,"conscious. 5 pocket shorts in washed, stretch denim with a regular waist, zip fly with button, and sewn cuffs at hems. cotton content is partly recycled. cotton 98%, elastane 2%",black,shorts
5784,v neck shirt,19.99,"gently fitted, v neck shirt in stretch cotton blend fabric. turn down collar, buttons at front, and buttons at cuffs. cotton 75%, polyester 22%, elastane 3%",light pink white light pink narrow-striped,tops
5785,denim bib overalls,34.99,"skinny fit bib overalls in washed, superstretch denim with adjustable suspenders. bib pocket, mock front pockets, and regular back pockets. high waist. zip at one side. cotton 79%, polyester 19%, elastane 2%",blue,jeans
5786,knee length coat,79.99,"fitted, knee length coat in thick twill with wool content. notched lapels, concealed snap fasteners at front, side seam pockets, and vent at back. removable belt at waist with metal buckle. lined. lining: polyester 56%, viscose 44%",black,outerwear
5787,cotton jersey cycling shorts,4.99,"pride x h&m. cycling shorts in stretch cotton jersey with an elasticized waistband. cotton 95%, elastane 5%",yellow orange red green blue purple yellow multicolored,shorts
5788,ribbed sweater,29.99,"fitted sweater in a soft rib knit. turtleneck, buttons on one shoulder, and long sleeves with sewn foldover cuffs. viscose 78%, polyamide 22%",black gold-colored black,outerwear
5789,fluffy turtleneck sweater,29.99,"boxy, knit turtleneck sweater in soft, fluffy chenille yarn. dropped shoulders, long sleeves, and ribbing at cuffs and hem. polyamide 68%, acrylic 31%, elastane 1%",cream,outerwear
5790,jersey top,5.99,"short sleeved, relaxed fit top in cotton jersey with a slightly wider neckline and a rounded hem. cotton 100%",brown dark brown brown tiger striped,tops
5791,coat with faux fur collar,79.99,"short, double breasted coat in felted fabric with a detachable faux fur collar. velvet covered buttons, shaping darts at back, and diagonal front pockets. lined. lining: polyester 100%",black,outerwear
5792,v neck silk blouse,69.99,"premium quality. straight cut blouse in softly draped silk fabric. v neck at front and back, cap sleeves, and short slits at sides. silk 100%",black,tops
5793,faux fur lined jacket,69.99,"jacket in faux suede with soft faux fur lining. faux fur collar with adjustable tabs and metal buckles. zip at front, side pockets, and faux fur cuffs. polyester 100%",beige,outerwear
5794,v neck tunic,29.99,"v neck tunic in airy, woven fabric with a stand up collar, buttons at front, and gathered yoke at back. long sleeves with buttons at cuffs. polyester 100%",black,tops
5795,ruffled blouse,29.99,"blouse in woven fabric with glittery threads. rounded collar, sewn ties at top, and buttons at front. yoke at front with ruffle trim extending over shoulders. long sleeves and cuffs with button and ruffle trim. cotton 55%, viscose 44%, metallized fiber 1%",light blue white silver-colored light gray light blue checked,tops
5796,fine knit sweater,12.99,"slightly shorter sweater in a soft, fine knit with long sleeves. ribbing at neckline, cuffs, and hem. polyester 100%",gray,outerwear
5797,v neck blouse,24.99,"long sleeved blouse in woven fabric. v neck, buttons at front, and diagonal seams below bust. smocking at cuffs and at back of hem. unlined. polyester 100%",cerise,tops
5798,patterned silk shirt,119.00,"premium quality. shirt in soft, gently draped silk fabric with a printed pattern. collar, buttons at front, and yoke at back at pleat. long sleeves and wide cuffs with buttons. rounded hem. silk 100%",beige dark brown beige patterned,tops
5799,wide cut shorts,59.99,"knee length shorts in woven fabric. high waist, pleats at top, and zip fly with concealed hook and eye fastener. side pockets and wide legs. polyester 100%",black black sequins,shorts
5800,paper bag shorts,34.99,"short shorts in woven fabric. high waist, paper bag waistband, pleats at top, and belt with covered buckle. zip fly with concealed hook and eye fastener. side pockets. pocket lining: polyester 100%",powder pink,shorts
5801,mock turtleneck sweatshirt,29.99,"soft sweatshirt with a stand up collar, dropped shoulders, and long sleeves.. ribbing at collar, cuffs, and hem. soft, brushed inside. cotton 60%, polyester 40%",light pink,outerwear
5802,satin blouse with scarf,29.99,"richard allan x h&m. blouse in satin with a printed pattern and matching, removable scarf. small band collar, concealed buttons at front, and dropped shoulders. long, wide sleeves and wide cuffs with slit and button. polyester 100%",black beige white black patterned,tops
5803,short skirt,29.99,"short skirt in woven fabric with a high waist. zip at back. polyester 68%, viscose 31%, elastane 1%",white black white black checked,skirts
5804,printed hooded sweatshirt,24.99,"long sleeved sweatshirt with a printed design. lined, wrap front hood, dropped shoulders, and soft, brushed inside. cotton 60%, polyester 40%",red red santa,outerwear
5805,denim shorts skinny regular,29.99,"5 pocket shorts in washed denim with heavily distressed details. regular waist, zip fly with button, and raw edge hems. cotton 100%",white,shorts
5806,rib knit sweater,29.99,sweater in a soft rib knit with a mock turtleneck and long raglan sleeves. polyester 100%,dark blue dark blue chenille,outerwear
5807,sweatshirt,17.99,"soft, relaxed fit sweatshirt with dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. soft, brushed inside. cotton 60%, polyester 40%",rust brown,outerwear
5808,bib overall shorts,10.99,"bib overall shorts in woven fabric with double layered fabric at front and open back. shoulder straps with adjustable fasteners, tie belt at waist, and concealed zip at back. lined. polyester 100%",yellow pink yellow floral,shorts
5809,hooded sweatshirt,24.99,"wide cut sweatshirt with a lined drawstring hood, long raglan sleeves, and kangaroo pocket. ribbing at cuffs and hem. soft, brushed inside. cotton 60%, polyester 40%",powder pink,outerwear
5810,slim fit pants,19.99,"5 pocket pants in stretch twill. regular waist, zip fly with button, and slim legs. pocket lining: polyester 65%, cotton 35%",light denim blue,pants
5811,denim shorts,12.99,"short, 5 pocket shorts in washed denim with a high waist, button fly, and raw edge hems. cotton 100%",light denim blue,shorts
5812,lyocell blend shorts,34.99,"conscious. short shorts in airy, woven fabric made from a tencel® lyocell and viscose blend. regular waist, pleats at top, and zip fly with hook and eye fasteners. lyocell 54%, viscose 46%",orange beige orange paisley-patterned,shorts
5813,cotton blend joggers,12.99,"lightweight sweatpant joggers made from a cotton blend. covered, elasticized waistband with drawstring and tapered legs with jersey ribbing at hems. cotton 80%, polyester 20%",light beige,bottoms
5814,off the shoulder cotton blouse,17.99,"short, off the shoulder blouse in woven cotton fabric with eyelet embroidery. smocking at top, short sleeves with smocked cuffs, and smocking at hem. cotton 100%",yellow,tops
5815,sweatshirt,17.99,"soft, relaxed fit sweatshirt with dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. soft, brushed inside. cotton 75%, polyester 20%, viscose 5%",light gray melange,outerwear
5816,puff sleeved blouse,24.99,"short blouse in airy woven viscose fabric with a printed pattern. sweetheart neckline, decorative covered buttons at front, and a wide, smocked section at back. long puff sleeves with elastication at shoulders and cuffs. viscose 100%",black pink green black floral,tops
5817,blouse with smocking,24.99,"wide cut blouse in woven viscose fabric with a printed pattern. stand up collar, smocked yoke, and ruffle trim at shoulders. long balloon sleeves with smocking at cuffs. viscose 100%",dark green beige yellow dark green floral,tops
5818,off the shoulder blouse,24.99,"short, off the shoulder blouse in crêped, woven viscose with lace details. narrow, adjustable shoulder straps and long, wide sleeves with lace trim. viscose 100%",white blue light pink white floral,tops
5819,oversized turtleneck sweater,34.99,"oversized, knit turtleneck sweater in soft chenille. heavily dropped shoulders, long sleeves, and ribbing at cuffs and hem. polyester 100%",dark gray melange,outerwear
5820,crêped jumpsuit,59.99,"jumpsuit in woven, crêped fabric. narrow, adjustable shoulder straps, concealed zip at back, and wide flounce at top. straight, wide legs. lining: polyester 96%, elastane 4%",black,outerwear
5821,cotton t shirt,5.99,"fitted t shirt in soft cotton jersey. slightly wider neckline with narrow ribbing. cotton 55%, polyester 40%, elastane 5%",white,tops
5822,fine knit skirt,34.99,"pringle of scotland x h&m/conscious. fine knit, calf length skirt with vertical, contrasting stripes at front. high waist, covered, elasticized waistband, and slit at front. polyester content is recycled. polyester 50%, polyamide 28%, viscose 22%",black white black pringle,skirts
5823,blouse with smocking,19.99,blouse in woven fabric with a slight sheen. slightly wider neckline with a v shaped opening at back and ties at back of neck. long raglan sleeves and smocking at waist and cuffs. polyester 100%,light beige red beige light brown light beige floral,tops
5824,linen dress,24.99,"premium quality. short dress in linen slub jersey. round neckline, narrow elastication with gathers, and gently flared skirt. unlined. linen 100%",black,dress
5825,flared pants,39.99,"pants in woven, crêped fabric with raw edges. high waist and gently flared legs. polyester 95%, elastane 5%",dark khaki green,pants
5826,short hooded jacket,24.99,"short sweatshirt jacket with a lined hood. zip at front, dropped shoulders, and long sleeves. ribbing at cuffs and hem. soft, brushed inside. cotton 60%, polyester 40%",black pink white black,outerwear
5827,shaping high ankle jeans,49.99,"premium quality. 5 pocket, ankle length jeans in washed, stretch denim. heavily distressed details, high waist, and zip fly with button. skinny legs with raw edge hems. embrace – denim with smart stretch function that molds to body for a comfortable, flattering silhouette. cotton 93%, elasterell p 5%, elastane 2%",denim blue denim blue trashed,jeans
5828,printed bomber jacket,59.99,"thank u next x h&m. padded bomber jacket in woven fabric with a printed design. small ribbed stand up collar, zip at front, and side pockets. ribbing at cuffs and hem. lined. polyester 100%",light beige white black light beige ariana grande,outerwear
5829,blouse with ties,24.99,"long sleeved blouse in airy chiffon with a printed pattern. v neck with ties, double layers of fabric front and back, and elasticized cuffs with ruffle. polyester 100%",black red green black floral,tops
5830,rib knit turtleneck sweater,24.99,"boxy sweater in a soft rib knit with wool content. high turtleneck, heavily dropped shoulders, and long, wide sleeves. acrylic 70%, polyester 24%, elastane 3%, wool 3%",burgundy melange,outerwear
5831,faux fur jacket,99.00,"straight cut jacket in faux fur with a collar. concealed snap fasteners at front, dropped shoulders, and side pockets. lined. detail: cotton 100%",natural white,outerwear
5832,long tank top,4.99,"longer, fitted tank top in stretch cotton jersey. adjustable shoulder straps. cotton 95%, elastane 5%",white,tops
5833,super skinny high jeans,19.99,"jeans in washed superstretch denim with a high waist. zip fly with button, mock front pockets, and regular back pockets. skinny legs. cotton 98%, elastane 2%",beige black beige leopard print,jeans
5834,knit sweater,34.99,"soft, knit sweater with wool content. long sleeves and ribbing at neckline, cuffs, and hem. acrylic 63%, polyamide 25%, wool 8%, elastane 4%",dark green,outerwear
5835,blouse with lace,34.99,blouse in crêped jersey with lace trim inserts. round neckline and small opening at back of neck with shimmering gold colored button. long sleeves and wide cuffs with concealed snap fasteners. lace: polyester 100%,white,tops
5836,pile lined biker jacket,99.00,"wide, straight cut jacket in faux suede. collar and lining in soft fleece. diagonal zip at front, adjustable tabs at collar with metal buckles, and front pockets with zip. polyester 100%",light taupe,outerwear
5837,shorts with reversible sequins,4.99,"pride x h&m. sweatshorts in a cotton blend with reversible sequins at sides, elasticized drawstring waistband, and side pockets. high waist. panels: polyester 95%, elastane 5%",black gold-colored green purple red blue turquoise green black multicolored,shorts
5838,patterned blouse,17.99,"v neck blouse in airy, woven viscose fabric with a printed pattern. buttons at front, 3/4 length sleeves, and narrow, elasticized cuffs with ruffle. viscose 100%",light beige black light beige leopard print,tops
5839,silk blend shirt,129.00,"premium quality. shirt in a softly draped viscose and silk blend. collar, buttons at front, and yoke at back. long sleeves and cuffs with button. short slits at sides. silk 62%, viscose 38%",black,tops
5840,knit sweater,29.99,"soft, chunky knit sweater with a slightly boxy cut. heavily dropped shoulders and ribbing at neckline, cuffs, and hem. acrylic 54%, polyester 37%, polyamide 9%",white red green yellow orange black white multicolored,outerwear
5841,padded hooded jacket,49.99,"fitted, padded jacket in woven fabric. lined hood with detachable faux fur trim. zip at front, elasticized drawstring at waist, and front pockets with snap fastener. inner ribbing at cuffs. lined. faux fur: acrylic 50%, modacrylic 50%",powder pink,outerwear
5842,faux fur jacket,49.99,"straight cut jacket in soft faux fur with notched lapels, concealed snap fasteners at front, and side pockets. lined. polyester 100%",black,outerwear
5843,bouclé sweater,17.99,"long sleeved sweater knit in soft bouclé yarn. ribbing at neckline, cuffs, and hem. acrylic 76%, polyester 24%",white,outerwear
5844,raglan sleeved anorak,24.99,"anorak in airy woven fabric with a drawstring hood, long raglan sleeves, and zip at top. seam at front with narrow flap, kangaroo pocket, and elasticized cuffs and hem. unlined. lining: polyester 100%",bright red,outerwear
5845,short chino shorts,19.99,"short shorts in woven fabric. zip fly with button, side pockets, and mock welt back pockets. linen 52%, viscose 48%",dark blue dark blue chambray,shorts
5846,viscose shirt,24.99,"shirt in woven viscose fabric. collar, buttons at front, and yoke at back. long sleeves with buttons at cuffs. rounded hem with slits at sides. viscose 100%",red black red animal print,tops
5847,tank top with lace,6.99,"conscious. fitted tank top in soft organic cotton jersey with lace trim at neckline and armholes. cotton 97%, elastane 3%",light pink,tops
5848,fine knit cashmere blend skirt,99.00,"premium quality/conscious. calf length skirt in soft, rib knit cashmere and organic cotton with a wide, elasticized ribbed waistband and a slit at one side. cotton 50%, cashmere 50%",gray,skirts
5849,fitted shorts,29.99,"wide cut shorts in woven fabric with a high waist. pleats at top, attached tie belt at waist, and fly with concealed zip. side pockets and mock welt back pockets. polyester 100%",dark blue,shorts
5850,lace cycling shorts,19.99,"cycling shorts in lace with an elasticized waistband, scalloped hems, and jersey lining. lace: polyamide 96%, elastane 4%",black,shorts
5851,slim fit pants,19.99,"5 pocket pants in stretch twill. regular waist, zip fly with button, and skinny legs. cotton 72%, polyester 27%, elastane 1%",light denim blue,pants
5852,flock print hooded sweatshirt,69.99,"giambattista valli x h&m. sweatshirt in soft, organic cotton fabric with a double layered drawstring hood. flock print at front with designer’s logo, kangaroo pocket, and long sleeves. ribbing at cuffs and hem. soft, brushed inside. cotton 100%",light pink black light pink,outerwear
5853,ribbed sweater,34.99,"soft, rib knit sweater with a sheen. decorative metal buttons on shoulders and 3/4 length sleeves. viscose 70%, polyamide 30%",burgundy gold-colored burgundy,outerwear
5854,corduroy velour leggings,24.99,"leggings in soft corduroy velour made from a cotton blend. high waist and elasticized waistband. cotton 58%, polyester 40%, elastane 2%",black,pants
5855,super slim fit pants,17.99,"pants in superstretch twill. high waist, concealed, elasticized waistband, and slim legs with narrow hems. cotton 71%, polyester 6%, elastane 3%",black beige black tortoiseshell-patterned,pants
5856,silk shirt,99.00,"premium quality. straight cut, slightly longer shirt in cool silk. pointed collar, classic button placket, and yoke at back with pleat. long sleeves and wide cuffs with buttons. rounded hem. silk 100%",dark beige,tops
5857,embrace high ankle jeans,39.99,"premium quality. 5 pocket, ankle length jeans in washed, stretch denim. high waist, zip fly with button, and super skinny legs. embrace – denim with smart stretch function that molds to body for a comfortable, flattering silhouette. cotton 92%, elasterell p 6%, elastane 2%",denim blue,jeans
5858,shirt with tie collar,29.99,"shirt in woven cotton fabric with a printed pattern. collar, buttons at front, and yoke at back. long sleeves with adjustable buttons at cuffs. slits at sides and a rounded hem, longer at back. cotton 100%",light blue white light blue striped,tops
5859,slub jersey t shirt,9.99,"t shirt in slub jersey made from a modal and cotton blend. rounded hem. cotton 50%, modal 50%",solid-color black,tops
5860,long tank top,4.99,"longer, fitted tank top in stretch cotton jersey. adjustable shoulder straps. cotton 95%, elastane 5%",powder pink,tops
5861,blouse with smocking,17.99,"long sleeved blouse in woven viscose fabric. square, elasticized neckline front and back, smocked seam below bust, and smocked seam and wide flounce at hem. viscose 100%",burgundy burgundy floral,tops
5862,knit sweater,24.99,"soft, knit sweater with wool content. high collar, zip at top with round zipper pull, heavily dropped shoulders, and long, wide sleeves. wide ribbing at collar, cuffs, and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",light gray melange,outerwear
5863,wide leg wool pants,129.00,"wide leg pants in soft, woven wool fabric. high waist, extended waistband tab, and zip fly with concealed hook and eye fasteners. side pockets, two welt back pockets, and straight legs with pleats at top for added fullness. wool 100%",black,pants
5864,fine knit hooded sweater,34.99,"pringle of scotland x h&m/conscious. sweater in a soft, fine knit with wool content. drawstring hood, long dolman sleeves, and ribbing at cuffs and hem. polyester content is recycled. polyester 52%, acrylic 38%, wool 8%, elastane 2%",light gray melange dark gray melange neon yellow light gray melange,outerwear
5865,ankle length chinos,24.99,"ankle length chinos in stretch cotton fabric with a regular waist and zip fly with button. side pockets, mock welt back pockets, and straight cut, gently tapered legs with creases. cotton 97%, elastane 3%",dark blue,pants
5866,cotton t shirt,5.99,"fitted t shirt in soft cotton jersey. slightly wider neckline with narrow ribbing. cotton 85%, viscose 10%, elastane 5%",gray melange,tops
5867,super skinny high ankle jeans,39.99,"ankle length jeans in washed stretch denim with heavily distressed details. high waist, zip fly with button, and super skinny legs. cotton 95%, elasterell p 4%, elastane 1%",black denim,jeans
5868,skinny regular jeans,19.99,"5 pocket jeans in washed stretch denim. regular waist, zip fly with button, and skinny legs. cotton 77%, polyester 21%, elastane 2%",white,jeans
5869,hooded sweatshirt,29.99,"sweatshirt with drawstring hood and kangaroo pocket. heavily dropped shoulders, long, wide sleeves, and ribbing at edges of hood, cuffs, and hem. soft, brushed inside. cotton 60%, polyester 40%",white black white radical love,outerwear
5870,satin shirt with lace,119.00,"studio collection. long, fitted shirt in satin with lace sections. large, pointed collar, buttons at front, and tapered waist. extra long sleeves with buttons at cuffs. rounded hem with slits at sides. viscose 100%",olive green,tops
5871,fine knit sweater,24.99,"soft, fine knit sweater with wool content. ribbed turtleneck, long raglan sleeves, ribbing at cuffs and hem, and slits at sides. slightly longer at back. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",white,outerwear
5872,fitted slim fit pants,34.99,"fitted pants in woven stretch fabric. two snap fasteners at waist and zip fly. front pockets with zip, mock welt back pockets, and slim, straight legs. polyester 98%, elastane 2%",black gray black houndstooth-patterned,pants
5873,kick flare pants,34.99,"ankle length pants in faux leather. high waist, concealed side zip, and straight legs with raw edge hems. coating: polyurethane 100%",black,pants
5874,wide leg pants,59.99,"patterned pants in softly draped viscose twill with a sheen. high waist, gathers and elastication at back of waist, and side pockets. straight, wide legs with creases and seam at hem with tone on tone trim. viscose 100%",brown black green blue brown patterned,pants
5875,textured knit turtleneck,34.99,"long sweater in a soft, textured knit. ribbed turtleneck, long, wide sleeves, and ribbing at cuffs and hem. acrylic 100%",dusty rose,outerwear
5876,double breasted jacket,34.99,"straight cut, double breasted jacket in woven fabric. notched lapels and front pockets with flap. lined. polyester 80%, viscose 16%, elastane 4%",beige red brown beige checked,outerwear
5877,flounced top,17.99,"top in textured weave fabric with a pattern. round neckline, opening at back of neck with button, and yoke at front with flounce extending over shoulders. cotton 100%",light pink,tops
5878,wrap dress,19.99,"sleeveless, calf length dress in softly draped viscose jersey. elasticized seam at waist and wrapover skirt. viscose 100%",black,dress
5879,long sleeved blouse,24.99,"blouse in soft woven fabric with a narrow collar, concealed buttons at front, and long sleeves with buttons at cuffs. rounded hem. polyester 100%",white,tops
5880,ruffled open shoulder blouse,19.99,"open shoulder blouse in woven fabric with ruffles and lace trim inserts. subtle v neck, ties at neckline, shoulder straps, and short, ruffled sleeves. elasticized seam and flounce at hem. polyester 100%",black,tops
5881,cotton overall,39.99,"ankle length overall in airy, woven cotton fabric. resort collar, chest pockets, buttons at front, and elasticized waistband. half length sleeves with sewn cuffs. cotton 100%",rust brown,outerwear
5882,super skinny low ankle jeans,39.99,"5 pocket, low rise jeans in washed superstretch denim. heavily distressed details, zip fly with button, and super skinny ankle length legs with raw edge hems. cotton 94%, elasterell p 5%, elastane 1%",black black trashed,jeans
5883,ribbed top,19.99,"fitted, long sleeved top in a soft rib knit with a v neck. viscose 42%, acrylic 42%, polyamide 16%",beige melange,tops
5884,off the shoulder sweater,24.99,"off the shoulder sweater a soft, fine knit with wool content. wide, foldover upper edge, long sleeves, and ribbing at cuffs and hem. acrylic 56%, polyamide 23%, wool 12%, alpaca 5%, elastane 4%",black,outerwear
5885,sweatpants,17.99,"sweatpants with an elasticized drawstring waistband, side pockets, and ribbed hems. soft, brushed inside. cotton 76%, polyester 18%, viscose 6%",gray melange,pants
5886,pile lined biker jacket,59.99,"pile lined jacket in faux suede with raw edges. collar, diagonal zip at front, side pockets with zip, and zip at cuffs. pocket lining: polyester 100%",brown,outerwear
5887,paper bag skirt,24.99,"short skirt in woven, crêped cotton fabric. high waist, paper bag waistband with pleats, buttons at front, and removable tie belt. jersey liner skirt. lining: polyester 100%",dusty rose,skirts
5888,ribbed sweater,24.99,"soft, rib knit sweater with a mock turtleneck. long sleeves with slit at cuffs. viscose 72%, polyamide 28%",white,outerwear
5889,modal blend wrap dress,17.99,"short, sleeveless dress in soft slub jersey made from a modal and cotton blend. v neck front and back, sewn wrapover at front, and a seam at waist with sewn ties. gently flared skirt. unlined. cotton 50%, modal 50%",dark gray dusky blue white dark gray patterned,dress
5890,v neck blouse,24.99,"blouse in woven fabric. v neck, small stand up collar, and yoke at back with pleat. long sleeves and gently rounded cuffs with slit and button. rounded hem, slightly longer at back. polyester 100%",burgundy,tops
5891,v neck top,12.99,"fitted top in soft cotton jersey. v neck, gathered seam at front, and long sleeves. cotton 95%, elastane 5%",dusty rose,tops
5892,super skinny high jeans,19.99,"jeans in washed superstretch denim with heavily distressed details. high waist, zip fly with button, back pockets and skinny legs. cotton 81%, polyester 17%, elastane 2%",dark gray,jeans
5893,shawl collar jacket,49.99,"jacket in woven fabric with a shawl collar, side seam pockets, and gathered, 3/4 length sleeves. no fasteners. lined. polyester 64%, viscose 34%, elastane 2%",light beige,outerwear
5894,slim fit pants,39.99,"pants in woven stretch fabric. concealed side zip and side pockets with metal decorations. slim legs with decorative seams at front and back. lining: polyester 65%, cotton 35%",black,pants
5895,v neck cashmere blend sweater,99.00,"studio collection/premium quality. knit sweater in a wool and cashmere blend with decorative seams. wide cut at top tapering to hem. low cut v neck at front, shallow v neck at back, and long, wide sleeves. straight cut hem. wool 95%, cashmere 5%",burgundy,outerwear
5896,wide cut shorts,49.99,"wide cut shorts in jacquard weave fabric. high waist with pleats and zip fly with button. concealed side seam pockets. polyester 51%, viscose 49%",dark beige natural white yellow dark beige checked,shorts
