,title,brand,price,description,colour,category
101,ASOS DESIGN Maternity Ridley high waisted skinny jeans in optic white with under the bump waistband,ultra skinny jeans,39.58,     White wash      Best paired with clear liquids      Stretch waistband sits under your growing bump      Functional pockets      Skinny fit – cut closely to the body ,Optic white,jeans
102,River Island distressed mom jeans in washed black,River Island,62.97,"      For today, tomorrow and every day after    High rise       Concealed fly      Functioning pockets      Straight cut   Distressed detailing        Regular fit   Just select your usual size ",Washed black,jeans
103,River Island Molly mid rise reform skinny jeggings in black,River Island,71.96,     Black wash  A wardrobe staple  Zip fly  Faux front pockets  Skinny fit - cut closely to the body ,Black,jeans
104,Levi's Mile High super skinny jean,Levi's,152.92,"     Yeah, we like these, too       High rise      Concealed fly      Functional pockets      Super-skinny fit  The tightest cut for a super-sleek edge  ",You got me,jeans
105,ASOS DESIGN Curve Recycled Florence authentic straight leg jeans in washed black,ASOS DESIGN,57.57,     Wear them again and again  Concealed fly  Functional pockets  Cropped leg  Straight fit  Down the line   Part of the Eco Edit ,Washed black,jeans
106,ASOS DESIGN Tall Farleigh high waisted slim mom jeans in washed black with busted knees,ASOS DESIGN,62.97,     The perfect partner for all your nice tops      High-rise waist      Concealed fly  Distressed details      Functional pockets      Slim tapered leg      Sits on the ankle      Relaxed fit ,Washed black,jeans
107,Oasis Jade Skinny Jeans,Oasis,71.96,     Wear them again and again  Concealed fly  Functional pockets  Skinny fit   A tight cut for a sleek shape ,La wash,jeans
108,ASOS DESIGN Ridley high waisted skinny jeans in dark vintage wash,ASOS DESIGN,50.37, Part of our responsible edit  They're long-term relationship material  Dark wash  Mid rise  Concealed fly with button fastening  Functional pockets  Skinny fit  Cut very closely from hips to hem ,Dark vintage wash,jeans
109,Reclaimed Vintage inspired the '92 wide leg jean,Reclaimed Vintage,57.57,"     Buy them now, wear them forever  High rise  Concealed fly  Functional pockets  Wide leg  Fitted at the top, flowing at the bottom  Exclusive to ASOS ",Ecru,jeans
110,Topshop wide leg jeans in cream,Topshop,98.95,"      They're long-term relationship material    High rise    Concealed fly with button fastening       Functional pockets  Wide leg  Fitted at the top, flowing at the bottom ",Cream,jeans
111,ASOS DESIGN Maternity High rise 'effortless' stretch kick flare jeans in mid vintage wash with over the bump band,ASOS DESIGN,57.57,      Add them to your everyday line-up    High rise    Bump band  Button fastening  Side and back pockets      Kick-flare leg  Regular fit  Just select your usual size      Designed to fit through all stages of pregnancy ,Mid vintage wash,jeans
112,Monki Imko straight leg jeans with organic cotton in mid blue,Monki,71.96,     Part of our responsible edit   High-rise waist      Concealed fly      Functional pockets      Straight cut  Regular fit  Just select your usual size ,Blue,jeans
113,ASOS DESIGN Farleigh high waisted slim mom jeans in washed black,ASOS Collection,57.57, High rise  Just like your standards  Washed finish  Zip fly  Functional pockets  Slim fit  A narrow cut that sits close to the body ,Washed black,jeans
114,Miss Selfridge Petite Lizzie skinny jeans in black,Miss Selfridge Petite,64.77,     Wear them again and again      High-rise waist      Concealed fly      Functional pockets      Skinny fit  A tight cut for a sleek shape ,Black,jeans
115,Noisy May Petite high waist jeggings in blue,Noisy May Petite,44.98,     That 'go with anything' wash  High-rise waist  Zip fly  Back pockets  Skinny fit  A tight cut for a sleek shape  ,Medium blue,jeans
116,ASOS DESIGN Petite Ridley high waist skinny jeans with lace up suspender detail,ASOS DESIGN,57.57,"     Part of our responsible edit  High-rise wiast  Concealed fly  Suspender details  Functional pockets  Skinny fit  Tight cut, regular on the waist ",Black,jeans
117,Liquor N Poker high rise skinny jeans,Liquor N Poker,71.96, Add-to-bag potential: considerable  High-rise waist  Concealed fly  Functional pockets  Skinny fit  Cut very closely from hips to hem  Exclusive to ASOS ,Washed black,jeans
118,Noisy May high waisted body shaping jean,Noisy May,46.78,     A go-to pair  High rise      Concealed fly      Five pockets      Skinny fit   A tight cut for a sleek shape ,Med blue,jeans
119,Topshop Joni skinny jeans in grey,Topshop,64.77, Add them to your everyday line-up   High-rise waist   Zip fly  Back patch pockets  Ankle-grazer style  Super-skinny fit  An extra-tight cut from hips to hem ,Grey,jeans
120,Missguided Petite wrath straight leg jeans in black,Missguided Petite,44.98,     Black wash  Mid-rise waist  Sits just above the hips      Concealed fly      Functional pockets      Frayed hem  For an unfinished finish  Straight fit  Up and down with no diversions ,Black,jeans
121,Topshop Jamie skinny jeans in black,Topshop,71.96,"      For today, tomorrow and every day after   High-rise waist  Belt loops  Zip fly  Five-pocket styling  Ankle-grazer style  Skinny fit  Cut very closely from hips to hem ",Black,jeans
122,Vero Moda Petite skinny jeans with high waist in mid wash blue,Vero Moda Petite,57.57,"     You can always depend on denim  High rise  Belt loops  Concealed fly with button fastening   Side and back fastening  Skinny fit  Tight cut, regular on the waist ",Blue,jeans
123,River Island Molly mid rise reform skinny jeggings in black,River Island,71.96,"      For today, tomorrow and every day after   Mid rise  Belt loops   Concealed fly with button fastening   Five pockets  Skinny fit  Cut very closely from hips to hem ",Black,jeans
124,ASOS DESIGN Curve premium wide leg jeans in aubergine,ASOS DESIGN,68.37,"     Part of our responsible edit  High rise  Button fastening  Concealed fly  Functional pockets  Wide leg  Fitted at the top, flowing at the bottom ",Purple,jeans
