,title,brand,price,description,colour,category
88,Weekday rolanda sweatpants in light beige,Weekday,44.98,      For your daytime thing    High rise    Stretch waistband        Utility-style pockets to leg    Fitted cuffs   Regular fit  Just select your usual size ,missing,bottoms
89,ASOS DESIGN premium supersoft leggings in cotton modal,ASOS DESIGN,21.59,     Super-soft finish  We’re feelin’ it      High rise      Elasticated waistband      Bodycon fit  Holds you close ,missing,bottoms
90,ASOS DESIGN tracksuit hoodie / slim jogger with tie,ASOS DESIGN,57.57,"     Part of our responsible edit  Drawstring hood  Regular fit  Trouser bottoms  Drawstring waistband  Fitted cuffs  Slim fit  A close cut, regular on the waist ",missing,bottoms
91,Vero Moda Petite wide leg cord trousers in pink,Vero Moda Petite,68.37,"      Add them to your everyday line-up    High rise   Concealed fly with button fastening  Side pockets  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
92,ASOS DESIGN Maternity skinny trouser in check jacquard,ASOS DESIGN,44.98,      For your everyday thing    High rise   Elasticated bump band  Check design  Super-skinny fit   An extra-tight cut to the body      Designed to fit through all stages of pregnancy ,missing,bottoms
93,Nike Air Running crop leggings in khaki,Nike,71.96,     Working out just got techy   High rise       Elasticated waistband  Nike Swoosh logo  Zip-back pocket      Close-cut bodycon fit ,missing,bottoms
94,Mamalicious Maternity sports gym leggings in grey marl,Mama.Licious,44.98,     Add-to-bag potential: considerable   High-rise waist       Elasticated waistband      Contrast inserts  Bodycon fit  They've got you covered from bump to baby ,missing,bottoms
95,ASOS DESIGN metallic stripe suit,Mama.Licious,183.50,missing,missing,bottoms
96,ASOS DESIGN oversized bleach wash jogger with rubber trim,ASOS DESIGN,50.37,     Part of our responsible edit  Drawstring waistband  All-over print  Side pockets  Fitted cuffs  Oversized fit  More room for activities ,missing,bottoms
97,Pretty Lavish wide leg trousers in animal print,ASOS DESIGN,86.36,"     For that thing you have to go to  Animal print  High rise      Stretch waistband  Wide leg  Fitted at the top, flowing at the bottom  Exclusive to ASOS ",missing,bottoms
98,New Look tapered leg jogger,New Look,19.77,     When you just want to be comfy      Drawstring waistband      Side pockets      Fitted cuffs      Tapered fit   Cut loosely around the thigh and tapered from the knee to the ankle ,missing,bottoms
99,ASOS DESIGN Tall oversized jogger,ASOS DESIGN,39.58,"     Your casual vibe, sorted  Drawstring waistband  Side pockets  Fitted cuffs  Oversized fit  Designed to look baggy ",missing,bottoms
100,ASOS DESIGN wide leg trousers with clean high waist,ASOS DESIGN,44.98,"     An alternative to your jeans      High-rise waist  Zip-side fastening  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
101,Ann Summers Wetlook leggings in black,Ann Summers,26.99 ,     Put your jeans away for a day  Faux-leather finish      High rise   Just like your standards      Elasticated waistband      Bodycon fit  Holds you close ,missing,bottoms
102,ASOS DESIGN Curve Luxe premium satin high waisted wide leg trousers,ASOS DESIGN,98.95 ,      For your going-out thing    High rise   Side pockets  Zip-back fastening  Wide leg  Regular fit on the waist ,missing,bottoms
103,Bershka mom fit trouser with belt in beige,Bershka,35.96, Add-to-bag potential: considerable  High-rise waist  Belt detail  Functional pockets  Regular fit  Just select your usual size ,missing,bottoms
