,title,price,brand,description,colour,category
547,nitchel top,28.00,Runway Bandits,basic mock neck top with half-length sleeves.,glaucous blue,tops
548,genson jeans,34.00,Runway Bandits,high-waisted tapered cut white jeans.,white,bottoms
549,nitchel top,28.00,Runway Bandits,basic mock neck top with half-length sleeves.,black,tops
550,londel shirt,30.00,Runway Bandits,classic button-down shirt with triangular pocket flap.,white,tops
551,garuna shirtdress,42.00,Runway Bandits,the,black,dress
552,natsu tee,30.00,Runway Bandits,a basic striped tee is a wardrobe essential for every modern woman. the,navy,tops
553,garuna shirtdress,42.00,Runway Bandits,the,apricot brandy,dress
554,garuna shirtdress,42.00,Runway Bandits,the,slate blue,dress
555,natsu tee,30.00,Runway Bandits,a basic striped tee is a wardrobe essential for every modern woman. the,black,tops
556,garuna shirtdress,42.00,Runway Bandits,the,navy,dress
557,citrine shirt,30.00,Runway Bandits,classic button-down with double stitch placket details.,mustard,tops
558,kason top,28.00,Runway Bandits,basic mock neck top with ribbed sleeves.,burgundy,tops
559,marson jeans,34.00,Runway Bandits,high-waisted skinny jeans with frayed hems.,midwash,bottoms
560,citrine shirt,30.00,Runway Bandits,classic button-down with double stitch placket details.,casper blue,tops
561,kason top,28.00,Runway Bandits,basic mock neck top with ribbed sleeves.,black,tops
562,zea shorts,32.00,Runway Bandits,high-waisted denim shorts with ripped details and frayed hems.,midwash,shorts
563,citrine shirt,30.00,Runway Bandits,classic button-down with double stitch placket details.,white,tops
564,weston dress,40.00,Runway Bandits,the,olive,dress
565,tivona top,33.00,Runway Bandits,the,sand/rosewood,tops
566,inez cami,32.00,Runway Bandits,"designed to work hand-in-hand with high-waisted bottoms, the",white,tops
567,weston dress,40.00,Runway Bandits,the,black,dress
568,tivona top,33.00,Runway Bandits,the,rosewood/atlantic blue,tops
569,weston dress,40.00,Runway Bandits,the,navy,dress
570,inez cami,32.00,Runway Bandits,"designed to work hand-in-hand with high-waisted bottoms, the",black,tops
571,tivona top,33.00,Runway Bandits,the,sand/atlantic blue,tops
572,weston dress,40.00,Runway Bandits,the,burgundy,dress
573,inis top,26.00,Runway Bandits,basic mock neck ribbed top.,grey,tops
574,yona shirt,30.00,Runway Bandits,basic button-down shirt with double stitch details.,white,tops
575,mills pants,34.00,Runway Bandits,high-waisted straight-cut pants with tucks around the hips.,khaki,bottoms
576,kluso jeans,34.00,Runway Bandits,high-waisted jeans with a tapered cut.,midwash,bottoms
577,inis top,26.00,Runway Bandits,basic mock neck ribbed top.,white,tops
578,yona shirt,30.00,Runway Bandits,basic button-down shirt with double stitch details.,periwinkle blue,tops
579,inis top,26.00,Runway Bandits,basic mock neck ribbed top.,black,tops
580,mills pants,34.00,Runway Bandits,high-waisted straight-cut pants with tucks around the hips.,white,bottoms
581,plixo jumpsuit,42.00,Runway Bandits,in the mood for something slouchy? enter the,olive,jumpsuits
582,kato tee,32.00,Runway Bandits,"lately, asymmetrical sleeved tops have been all the rage and the",white,tops
583,plixo jumpsuit,42.00,Runway Bandits,in the mood for something slouchy? enter the,black,jumpsuits
584,kato tee,32.00,Runway Bandits,"lately, asymmetrical sleeved tops have been all the rage and the",navy,tops
585,plixo jumpsuit,42.00,Runway Bandits,in the mood for something slouchy? enter the,rust,jumpsuits
586,kato tee,32.00,Runway Bandits,"lately, asymmetrical sleeved tops have been all the rage and the",blush,tops
587,plixo jumpsuit,42.00,Runway Bandits,in the mood for something slouchy? enter the,navy,jumpsuits
588,kato tee,32.00,Runway Bandits,"lately, asymmetrical sleeved tops have been all the rage and the",black,tops
589,kaira dungarees,34.00,Runway Bandits,dungaree dress with adjustable straps and a subtle pinstripe design.,khaki,dress
590,kluso jeans,34.00,Runway Bandits,high-waisted jeans with a tapered cut.,black,bottoms
591,drezel shirt,30.00,Runway Bandits,basic button-down shirt with a point collar and a single breast pocket.,white,tops
592,kluso jeans,34.00,Runway Bandits,high-waisted jeans with a tapered cut.,darkwash,bottoms
593,drezel shirt,30.00,Runway Bandits,basic button-down shirt with a point collar and a single breast pocket.,cornflower,tops
594,ionia vest,38.00,Runway Bandits,the,white,outerwear
