,name,price,colour,description,about_me,brand,category
54,Boohoo exclusive midi skirt in red ditsy print,27.79,Multi,Easily dressed up or down High rise Fitted waistband All-over print     Front split     Regular fit Just select your usual size,"           Smooth stretch fabric Ir's got a little give  Main: 95% Polyester, 5% Elastane.",boohoo,skirts
55,Y.A.S check pleated midi skirt,101.9,Multi,Part of our responsible edit Check print High rise Elasticated waist Pleated design Regular fit Just select your usual size,"           Lightweight woven fabric Made with recycled polyester Plastic bottles and textile waste are processed into plastic chips and melted into new fibres This saves water and energy and reduces greenhouse gas emissions, too Cool, right? Body: 100% Polyester, Lining: 100% Polyester.",Y.A.S,skirts
56,AllSaints renia tulle midi skirt,237.15,Black,Worth making plans for Mid-rise waist Tiered design Regular fit True to size,"           Lightweight tulle Very fine, stiff netting Partially lined Main: 100% Viscose.",AllSaints,skirts
57,Vila polka dot pleated maxi skirt,88.93,Blue,Easily dressed up or down    High rise     Fitted waistband     Concealed fastening Pleated finish     Regular fit Just select your usual size,"           Slightly sheer chiffon It's light and floaty Body: 100% Polyester, Lining: 100% Polyester.",Vila,skirts
58,Urban Bliss Plus baby cord mini skirt with self belt,51.88,Laundered blue,An alternative to your denim High-rise waist Removable buckle belt Zip fly Five pockets Regular fit Just select your usual size Exclusive to ASOS,"           Soft, ribbed corduroy We're still about that 70s thing Body: 100% Cotton.",Urban Bliss,skirts
59,ASOS DESIGN faux fur mini skirt,70.4,Brown,Go with the faux High-rise waist    Zip-back fastening    Regular fit Just select your usual size,"           Soft faux fur Seriously strokable Back: 100% Polyester, Lining: 100% Polyester.",ASOS DESIGN,skirts
60,ASOS DESIGN maxi skirt with tie waist,33.35,Black,For your daytime thing High rise Wrap detail Tie back Kick split Slim fit Cut close to the body,"           Lightweight viscose Soft and stretchy  Main: 95% Viscose, 5% Elastane.",ASOS DESIGN,skirts
61,New Look Curve glitter pleated midi skirt in black,46.3,Black,Coming soon to your Saved Items High rise Stretch waistband    Regular fit True to size,"           Lightweight pleated fabric Metallic finish  Lining: 100% Polyester, Outer: 51% Polyester, 49% Metallised Fibres.",New Look,skirts
62,Weekday A-line denim skirt in blue,64.84,Sky blue,Part of a co-ord set Mix and match Light-blue wash High-rise waist Functional pockets Zip-back fastening A-line cut Regular fit Just select your usual size,"           Non-stretch denim Made from organic cotton Grown with less water and no pesticides It's a win-win, improving the environment for both wildlife and cotton farmers Main: 100% Organic Cotton.",Weekday,skirts
63,Y.A.S textured check tiered maxi skirt,101.9,Multi,For your daytime thing Check pattern High rise    Stretch-back waistband    Tiered design    Regular fit Just select your usual size,"           Lightweight textured fabric The kind that stretches  Body: 95% Polyester, 5% Elastane.",Y.A.S,skirts
