web-scraper-order,web-scraper-start-url,link,link-href,title,brand,price,description,material,colour,category
"1573757587-15352","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","52% OFFSomething BorrowedResort Shirt with Contrast PipingS$ 32.90NOW S$ 15.90International Sizes:XSSML","https://www.zalora.sg/something-borrowed-resort-shirt-with-contrast-piping-yellow-1077602.html","Resort Shirt with Contrast Piping","Something Borrowed","S$ 32.90","- Printed top with contrast trim
- Notch lapels
- Regular fit
- Front button fastening
- 1 chest pocket
- Short sleeves
- Polyester","100% Polyester","Yellow/Multi","Tops"
"1573744338-11953","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","34% OFFZALORA BASICSBasic Double Layer Sleeveless BlouseS$ 17.90NOW S$ 11.80International Sizes:XSSMLXL","https://www.zalora.sg/zalora-basics-basic-double-layer-sleeveless-blouse-blue-1099999.html","Basic Double Layer Sleeveless Blouse","ZALORA BASICS","S$ 17.90","- Solid-tone layered sleeveless top
- Unlined
- Round neckline
- Regular fit
- Back button closure
- Polyester","100% Polyester Woven","Teal","Tops"
"1573766499-16944","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","43% OFFVero ModaReeda Lace SingletS$ 49.00NOW S$ 27.90International Sizes:XSSML","https://www.zalora.sg/vero-moda-reeda-lace-singlet-blue-1186265.html","Reeda Lace Singlet","Vero Moda","S$ 49.00","- Solid shade lace strap sleeveless top
- V-neckline
- Unlined
- Regular fit
- Polyester
- Model wears an S and is 177cm tall","100% Polyester","Sodalite Blue","Tops"
"1573742565-11436","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","29% OFFZALORA BASICSBasic Sleeveless Collar BlouseS$ 19.90NOW S$ 14.10International Sizes:XSSMLXL","https://www.zalora.sg/zalora-basics-basic-sleeveless-collar-blouse-multi-1099728.html","Basic Sleeveless Collar Blouse","ZALORA BASICS","S$ 19.90","- Sleeveless shirt with chest pocket
- Collared neckline
- Unlined
- Regular fit
- Button fastening
- Cotton blend","95% Rayon 5% Spandex Knit","White & Mint Medium Stripe","Tops"
"1573773118-17696","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","MangoBow Combi BlouseS$ 59.90International Sizes:MLXL","https://www.zalora.sg/mango-bow-combi-blouse-black-1228425.html","Bow Combi Blouse","Mango","S$ 59.90","- Monochrome tie neck top
- Sizing runs one size larger
- V-neckline
- Lined
- Regular fit
- Self tie bow
- Polyester","100% Polyester","Black","Tops"
"1573754094-14548","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","25% OFFMangoRibbed TopS$ 39.90NOW S$ 29.90International Sizes:XSSML","https://www.zalora.sg/mango-ribbed-top-green-1156616.html","Ribbed Top","Mango","S$ 39.90","- Solid tone rib textured top
- Sizing runs one size larger
- V neckline
- Unlined
- Slim fit
- Slip on style
- Viscose blend","79% Viscose, 18% Polyester, 3% Elastane","Turquoise","null"
"1573749150-13235","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","FOREVER 21Baby Girl Graphic TeeS$ 14.00International Sizes:M","https://www.zalora.sg/forever-21-baby-girl-graphic-tee-black-1244154.html","Baby Girl Graphic Tee","FOREVER 21","S$ 14.00","- Graphic tee
- Round neckline
- Regular fit
- Polyblend","Polyester blend","Black/multi","Tops"
"1573758387-15523","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","60% OFFCompania FantasticaFrill Jacquard TopS$ 56.90NOW S$ 22.90International Sizes:M","https://www.zalora.sg/compania-fantastica-frill-jacquard-top-white-1074000.html","Frill Jacquard Top","Compania Fantastica","S$ 56.90","- Printed frill detail top
- Round neckline
- Unlined
- Regular fit
- Back teardrop button fastening
- Cotton","100% Cotton","White","null"
"1573742928-11537","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","43% OFFZALORAPlus Size Button Detail ShirtS$ 34.90NOW S$ 19.90International Sizes:XXLXXXLXXXXLXXXXXL","https://www.zalora.sg/zalora-plus-size-button-detail-shirt-yellow-1113417.html","Plus Size Button Detail Shirt","ZALORA","S$ 34.90","- Solid tone shirt with pebble like buttons
- Standard collar
- Regular fit
- Button fastening
- Polyester","100% Polyester","Yellow","null"
"1573776044-18004","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","67% OFFSomething BorrowedElastic Waistband Crop TopS$ 29.90NOW S$ 9.80International Sizes:LXL","https://www.zalora.sg/something-borrowed-elastic-waistband-crop-top-white-999874.html","Elastic Waistband Crop Top","Something Borrowed","S$ 29.90","- Cropped top with tropical print
- Round neckline
- Regular fit
- Back zip fastening
- Elasticized hem
- Sleeveless
- Cotton blend
- Model wears an S and is 175cm tall","80% Cotton 20% Polyamide","White/Green","Tops"
