,brand,title,price,description,colour,material
61,Impression,Body Shaping Bra,S$ 49.90,"Designed to be worn under tight tees without a fuss, the body shaping bra by Impression redistributes excess bulges from sides to bustline, creating a more streamlined silhouette with an enhanced cleavage and posture. Look beautiful inside out with the lovely lace overlay and diamante details.

- Polyblend
- Sweetheart neckline
- Thick padded cups for push up effect
- Underwire support
- Detachable and adjustable shoulder straps
- Padding is angled to for upward & inward push
- Firm support with a push-in effect at underarm areas
- High side and back panels with boning to conceal bulges & provide inward thrust
- Adjustable hook and eye fastening",Purple,Blend
62,Cotton On Body,Boyfriend Jersey Shorts,S$ 24.99,"- Stripe tape side detail drawstring sleep shorts
- High rise
- Relaxed fit
- Drawstring and elasticated waistband fastening
- Cotton blend
- Model wears an S and is 174cm tall",Moonlight Lilac/Stripe,"95% Cotton, 5% Elastane"
63,Calvin Klein,Calvin Klein Spot Floral Hipster,S$ 69.00,A glamorous intimate hipster bikini constructed with spot floral lace and mesh panels. With an elasticated waist and a full cotton gusset.,DEMURE PINK,[]
64,DORINA,Ida 2-Pack Cup Light-Padded Bras,S$ 35.90,"- Assorted bras with lace detail
- Regular fit
- Back hook fastening
- Light-padded cups with underwires
- Adjustable shoulder straps
- Pack of 2
- Polyamide blend
- Model wears a size 34B and is 172cm tall",Dark Red/Black,"54% Polyamide, 39% Polyester, 7% Elastane"
65,Cotton On Body,Seamfree Scoop Bodysuit,S$ 19.99,"- Solid shade strappy ribbed bodysuit
- Scoop neckline
- Unlined
- Slim fit
- Non-adjustable straps
- G-string with minimal back coverage
- Snap button fastening
- Polyamide blend
- Model wears an S and is 175cm tall",Orchid Lavender,[]
66,Cotton On Body,Supersoft Drop Crotch Pant,S$ 29.95,"- Dropped crotch lounge trousers
- Mid rise
- Regular fit
- Elasticised waist
- Polyblend",Silver Lake Blue Marle,"70% Polyester, 25% Viscose, 5% Elastane"
67,Cotton On Body,Boyfriend Jersey Shorts,S$ 24.99,"- Night shorts with animal print
- Medium rise
- Relaxed fit
- Elasticized waistband
- Self-tie waist closure
- Cotton blend
- Model wears an S and is 170cm tall",Bold Zebra,"95% Cotton, 5% Elastane"
68,Cosabella,Sweet Treat Dots Cheeky Panties,S$ 47.90,"- Lace trim panties with dots details
- Regular fit
- Elasticised waistband
- Polyamide blend
- Model wears an S and is 180cm tall",Black,"82% Polyamide, 16% Elastane, 2% Cotton"
69,DORINA,Sage Brazilian Briefs,S$ 15.90,"- Monochrome toned briefs with eyelet
- Mid rise
- Slim fit
- Elasticised waistband
- Polyamide blend
- Model wears a UK 10 and is 172cm tall",Black,"8% Polyamide, 15% Elastane"
70,Hollister,Gilly Hicks Ribbed Logo Triangle Bra,S$ 29.00,"- Ribbed triangle bra with brand print underbust band
- Sizing runs one size larger
- Removable padding
- Regular fit
- Back hook fastening with adjustable shoulder straps
- Polyblend
- Model wears an S and is 172cm tall",White,"61% Polyester, 34% Cotton, 5% Elastane"
71,Teyli,Brasilian Naddi,S$ 29.83,"-Women's brazilian panties
- They present the buttocks in a sexy way
- Brazilians made of mesh and lace

- Elastic waistband",Nude,"This item is not valid for returns, refunds and exchanges"
72,FOREVER 21,Floral Lace Thong,S$ 10.90,"- Scallop trim lace insert thong
- Mid rise
- Unlined
- Regular fit
- Elasticised waistband
- Nylon blend",Black,"88% Nylon, 12% Spandex"
73,A-IN GIRLS,Quick-Drying Running Fitness Yoga Dance Sports Bra,S$ 183.75,"Body sculpting, 360-degree perfect body, perfect curve.
Suitable for: Leisure / Yoga / Running / Fitness / Dance / Outdoor Sports
- Comfortable fabric, breathable and quick-drying
- Three-dimensional cut
- with chest pad, shockproof and decompression
- seamless hollow",pink,Polyester fiber + spandex
74,On Gossamer,Racy Lace Hip Bikini Panties,S$ 17.70,"- Solid shade floral lace bikini cut panties
- Low rise
- Slim fit
- Elasticated waistband
- Nylon
- Model wears an S and is 170cm tall",Blush,Nylon
75,VIVIESTA SPORT,Cut-Out Criss-Cross High Impact Sports Bra,S$ 77.00,"The high impact sports bra designed for high performance activities. The peekaboo cut-out and scoop neck design help wick away sweat and keep your movements unrestricted and free. The no-dig straps are not only supportive but keep you comfortable all day long.
- Performance stretch fabric for added comfort
- Strap and back design for extra support
- Removable cups to customize your fit to perfection",Black,"88% Nylon, 12% Spandex"
76,Cotton On Body,Smooth Lace Trim Bikini Brief,S$ 9.99,"- Printed brief with lace detail
- Medium rise
- Regular fit
- Elasticized waistband
- Bikini cut
- Polyamide blend
- Model wears an S and is 172cm tall",Prairie Ditsy Blue,"86% Polyamide, 14% Elastane"
77,B-Code,BC9534- Lady Sexy Lace Bra And Panty Set -Purple,S$ 46.00,"-3/4 cup lace bra
-Back Hook Fastening
-Fixed Shoulder Strap
-Sexy and Regular Comfort",Purple,Nylon
78,OVS,Printed Bra,S$ 39.90,"- Printed bra with ribbon detail
- Unpadded
- Regular fit
- Hook fastening
- Adjustable strap
- Polyamide blend
- Model wears a size 3C and is 174cm tall",Violet/White,"79% Polyamide, 21% Elastane"
79,YG Fitness,Quick-Drying Running Fitness Yoga Dance Sports Bra,S$ 156.45,"Body sculpting, 360-degree perfect body, perfect curve.
Suitable for: Leisure / Yoga / Running / Fitness / Dance / Outdoor Sports
- Comfortable fabric, breathable and quick-drying
- Beauty back three-dimensional cut
- Bra With chest pad, shockproof and decompression",black,Polyester Fiber + Spandex
80,Impression,Meshnet Nightwear Slip Dress With Thong,S$ 69.90,"- Sheer mesh slip dress
- Unlined
- V neckline
- Regular fit
- Slip on style
- Adjustable shoulder straps
- Cotton blend
- Comes with matching thong
- Model wears an M and is 172cm tall",Black,[]
81,Calvin Klein,Calvin Klein Logo Pipe Bikini,S$ 39.00,This pair of bikini panties features signature Calvin Klein logo piping details around the waist and legs. With a full cotton gusset and full bottom coverage.,BLACK,[]
82,VIVIESTA SPORT,Dual Layer High Support Sports Bra.,S$ 59.00,"The sports bra with double layers offers maximum support. The sexy back design makes you the most fashionable in the gym room. Sweat-wicking and heat-absorbing technology keeps you always cool and dry. 4 colors available.
- Performance stretch fabric for added comfort
- Strap and back design for extra support
- Removable cups to customize your fit to perfection",Black,"90% Polyester, 5% Nylon, 5% Spandex"
83,LYCKA,LCK9426 Lady Cotton Printed Pyjamas Set Yellow,S$ 42.00,"-Made of Quality Combed Cotton Blend Fabric

-Top
-Round Neckline
-Unlined
-Relaxed Fit and Comfort Design

-Bottom
-Solid Colour Pajama Shorts
-Mid Rise
-Elasticised Waist",Yellow,Combed Cotton Blend Fabric
84,ZALORA BASICS,Lounge Lace Trim Shorts,S$ 17.90,"- Melange lace hem shorts
- Unlined
- High rise
- Regular fit
- Elastic waistband
- Polyblend
- Model wears an S and is 174cm tall",Light Grey Marl,"65% Rayon, 35% Polyester"
